Index,Patch,Oracle,Predicted value
39,correct/AMQMessageStore/cbb29.java,correct,correct
40,correct/AMQPersistenceAdapter/d77d8.java,correct,correct
41,correct/AMRMClient/4466d.java,correct,correct
42,correct/AMRMClientImpl/06022.java,correct,correct
43,correct/AMaterial/6eed0.java,correct,correct
44,correct/AMaterial/dac22.java,correct,correct
45,correct/ANRequest/c5866.java,correct,correct
46,correct/ANRequest/e748a.java,correct,correct
47,correct/ANXAdapterTest/28f4d.java,correct,correct
48,correct/API/ab05a.java,correct,correct
49,correct/API/b6001.java,correct,correct
50,correct/APTCodeModelHelper/d5a18.java,correct,correct
51,correct/APTCodeModelHelper/ea7d8.java,correct,correct
52,correct/APersistentMap/eba20.java,correct,overfitting
53,correct/APersistentSet/eba20.java,correct,overfitting
54,correct/APersistentVector/eba20.java,correct,overfitting
55,correct/ARSCDecoder/3a982.java,correct,correct
56,correct/ARSCDecoder/5d9fa.java,correct,correct
57,correct/ARSCDecoder/5f5f5.java,correct,correct
58,correct/ARSCDecoder/65c20.java,correct,correct
59,correct/ARSCDecoder/6a758.java,correct,correct
60,correct/ARTShapeShadowNode/85f75.java,correct,correct
61,correct/ASMSerializerFactory/434bb.java,correct,correct
62,correct/ASMSerializerFactory/5bc5a.java,correct,correct
63,correct/ASMSerializerFactory/b58fc.java,correct,correct
64,correct/ASMSerializerFactory/b5f52.java,correct,correct
65,correct/ASMUtil/31a99.java,correct,correct
66,correct/ASModuleHandler/e5171.java,correct,correct
67,correct/ASTBuilder/de00e.java,correct,overfitting
68,correct/ASTHelper/84c0a.java,correct,correct
69,correct/ASTMerge/11f81.java,correct,correct
70,correct/ASTParserLoadingTest/0ffe3.java,correct,correct
71,correct/ASTTransformationVisitor/d9c53.java,correct,correct
72,correct/ASTTransformationVisitor/d9c53.java,correct,correct
73,correct/ASeq/19449.java,correct,overfitting
74,correct/AShaderBase/be2ea.java,correct,overfitting
75,correct/AShaderBase/e25c5.java,correct,overfitting
76,correct/AStarPathFinder/37032.java,correct,correct
77,correct/ATag/7151d.java,correct,correct
78,correct/ATexture/80f8f.java,correct,correct
79,correct/ATransformable3D/ff181.java,correct,correct
80,correct/AUC/96943.java,correct,correct
81,correct/AWSClient/0d97f.java,correct,correct
82,correct/Aapt2Compile/1f04d.java,correct,correct
83,correct/AaptUtil/735c5.java,correct,correct
84,correct/AaptUtil/af27a.java,correct,correct
85,correct/AarImportTest/7925d.java,correct,correct
86,correct/Abbreviations/648e0.java,correct,correct
87,correct/Abort/0393b.java,correct,correct
88,correct/Abort/f22cc.java,correct,correct
89,correct/AbortDialog/6ec28.java,correct,correct
90,correct/AbortDialog/a01c0.java,correct,correct
91,correct/About/ef472.java,correct,correct
92,correct/AboutAction/53583.java,correct,correct
93,correct/AboutActivity/d86c6.java,correct,correct
94,correct/AboutActivity/f8021.java,correct,correct
95,correct/AboutDialog/86f7c.java,correct,correct
96,correct/AboutFragment/b7040.java,correct,correct
97,correct/AboutWindow/d1b2d.java,correct,correct
98,correct/Abs/3b23b.java,correct,correct
99,correct/AbsListView/01827.java,correct,correct
100,correct/AbsListView/0c455.java,correct,overfitting
101,correct/AbsListView/1bfca.java,correct,correct
102,correct/AbsListView/1c674.java,correct,overfitting
103,correct/AbsListView/20495.java,correct,overfitting
104,correct/AbsListView/24930.java,correct,correct
105,correct/AbsListView/269ac.java,correct,overfitting
106,correct/AbsListView/2b414.java,correct,overfitting
107,correct/AbsListView/2baab.java,correct,correct
108,correct/AbsListView/31762.java,correct,correct
109,correct/AbsListView/31a14.java,correct,correct
110,correct/AbsListView/3cffe.java,correct,overfitting
111,correct/AbsListView/50531.java,correct,correct
112,correct/AbsListView/5cdd1.java,correct,correct
113,correct/AbsListView/88437.java,correct,overfitting
114,correct/AbsListView/9b8c5.java,correct,overfitting
115,correct/AbsListView/9d981.java,correct,overfitting
116,correct/AbsListView/9fa49.java,correct,overfitting
117,correct/AbsListView/a5437.java,correct,overfitting
118,correct/AbsListView/abccd.java,correct,correct
119,correct/AbsListView/aed6c.java,correct,correct
120,correct/AbsListView/bb852.java,correct,correct
121,correct/AbsListView/be664.java,correct,correct
122,correct/AbsListView/c1027.java,correct,overfitting
123,correct/AbsListView/c7c7a.java,correct,overfitting
124,correct/AbsListView/d9cc7.java,correct,overfitting
125,correct/AbsListView/e8be6.java,correct,correct
126,correct/AbsListView/f61ea.java,correct,correct
127,correct/AbsListView/fae59.java,correct,correct
128,correct/AbsListView/fb981.java,correct,correct
129,correct/AbsQuizTestCase/abac6.java,correct,correct
130,correct/AbsQuizTestCase/c95d9.java,correct,correct
131,correct/AbsSeekBar/57218.java,correct,correct
132,correct/AbsSeekBar/8c8db.java,correct,correct
133,correct/AbsSeekBar/a65d6.java,correct,correct
134,correct/AbsSender/76a2f.java,correct,correct
135,correct/AbstracTypeMapping1186Test/ddd96.java,correct,correct
136,correct/AbstractActiveService/8aa9c.java,correct,correct
137,correct/AbstractAjaxCallback/2b258.java,correct,overfitting
138,correct/AbstractAjpProcessor/aa218.java,correct,correct
139,correct/AbstractAlterOperation/05a1c.java,correct,correct
140,correct/AbstractAnnotationProcessor/06a2b.java,correct,correct
141,correct/AbstractAppListAdapter/70035.java,correct,correct
142,correct/AbstractAppListAdapter/cf5ba.java,correct,correct
143,correct/AbstractArchiveResourceSet/d3ebc.java,correct,correct
144,correct/AbstractArtifactTask/4d0e8.java,correct,correct
145,correct/AbstractAsynchronousCache/06d33.java,correct,correct
146,correct/AbstractAuthFilter/7faee.java,correct,correct
147,correct/AbstractAuthenticationManager/3819b.java,correct,correct
148,correct/AbstractAuthenticationProcessingFilter/4004c.java,correct,correct
149,correct/AbstractAutowireCapableBeanFactory/89357.java,correct,correct
150,correct/AbstractAutowireCapableBeanFactory/89357.java,correct,correct
151,correct/AbstractAwsTest/e00c0.java,correct,correct
152,correct/AbstractBackendListenerClient/841e2.java,correct,correct
153,correct/AbstractBaseNearCacheInvalidationListener/8db95.java,correct,correct
154,correct/AbstractBindingBuilder/58d40.java,correct,correct
155,correct/AbstractBindingBuilder/5a980.java,correct,correct
156,correct/AbstractBindingBuilder/7faee.java,correct,correct
157,correct/AbstractBlackHoleTest/d7aa2.java,correct,correct
158,correct/AbstractBleProfile/ec0d6.java,correct,correct
159,correct/AbstractBlockChain/3d669.java,correct,correct
160,correct/AbstractBlockChain/9639b.java,correct,overfitting
161,correct/AbstractBlockChain/e687e.java,correct,correct
162,correct/AbstractBlockWrapper/c0bd9.java,correct,correct
163,correct/AbstractBootstrap/aa2f1.java,correct,correct
164,correct/AbstractBottomUpTraversal/f9ab3.java,correct,correct
165,correct/AbstractBroadcasterCache/132e6.java,correct,correct
166,correct/AbstractBufferCaptureDevice/50d64.java,correct,correct
167,correct/AbstractBulkByScrollRequest/b7531.java,correct,correct
168,correct/AbstractBytesReferenceTestCase/a9ab0.java,correct,correct
169,correct/AbstractCacheFledgedQuery/c5dfb.java,correct,correct
170,correct/AbstractCacheRecordStore/42565.java,correct,correct
171,correct/AbstractCacheRecordStore/4716e.java,correct,correct
172,correct/AbstractCacheRecordStore/68169.java,correct,correct
173,correct/AbstractCacheRecordStore/ac6d3.java,correct,correct
174,correct/AbstractCallPeer/77424.java,correct,overfitting
175,correct/AbstractCamelContextFactoryBean/30079.java,correct,correct
176,correct/AbstractCamelContextFactoryBean/f2e9c.java,correct,correct
177,correct/AbstractCamelInvocationHandler/7ae7f.java,correct,correct
178,correct/AbstractCamelTestNGSpringContextTestsPlainTest/63535.java,correct,correct
179,correct/AbstractCamelThreadPoolFactoryBean/413b4.java,correct,correct
180,correct/AbstractCasEventRepositoryTests/2722c.java,correct,correct
181,correct/AbstractCasView/07907.java,correct,correct
182,correct/AbstractCasWebflowConfigurer/a7118.java,correct,correct
183,correct/AbstractCasWebflowEventResolver/0f039.java,correct,correct
184,correct/AbstractCentralAuthenticationService/40e06.java,correct,correct
185,correct/AbstractCertificateLoginModuleTestCase/9c1d8.java,correct,correct
186,correct/AbstractChannel/d299e.java,correct,correct
187,correct/AbstractChannelBuffer/df2f9.java,correct,overfitting
188,correct/AbstractCharReplacementEncoder/3410d.java,correct,overfitting
189,correct/AbstractChartView/10b52.java,correct,correct
190,correct/AbstractChat/9445a.java,correct,correct
191,correct/AbstractClassCouplingCheck/3b452.java,correct,correct
192,correct/AbstractClassTypeConstructor/dc02b.java,correct,correct
193,correct/AbstractClausedStaticPersistentMethod/ce4fa.java,correct,correct
194,correct/AbstractClient/d8ed9.java,correct,correct
195,correct/AbstractClient/f6ddf.java,correct,correct
196,correct/AbstractClientCacheProxy/6d57d.java,correct,correct
197,correct/AbstractClusterInvokerTest/27563.java,correct,correct
198,correct/AbstractCodeWriter/4938e.java,correct,correct
199,correct/AbstractColQuery/b4063.java,correct,correct
200,correct/AbstractCollector/a80cc.java,correct,overfitting
201,correct/AbstractColumnContainer/621bc.java,correct,correct
202,correct/AbstractColumnFamilyInputFormat/177f6.java,correct,correct
203,correct/AbstractColumnFamilyInputFormat/3a4d6.java,correct,correct
204,correct/AbstractCommand/0c1f5.java,correct,correct
205,correct/AbstractCommand/8ac35.java,correct,correct
206,correct/AbstractCommandLineRunner/f80e6.java,correct,correct
207,correct/AbstractCommitLogService/3b357.java,correct,correct
208,correct/AbstractCommitLogService/93478.java,correct,correct
209,correct/AbstractCommitLogService/d1361.java,correct,correct
210,correct/AbstractCompiler/3fcb0.java,correct,correct
211,correct/AbstractCompositeType/c86a7.java,correct,correct
212,correct/AbstractConcurrentDoubleKeyMap/01007.java,correct,correct
213,correct/AbstractConfig/be82a.java,correct,correct
214,correct/AbstractConfigObject/79557.java,correct,correct
215,correct/AbstractConfigUtils/85982.java,correct,overfitting
216,correct/AbstractConfigurationBuilder/16cec.java,correct,correct
217,correct/AbstractConnectionManager/bfa63.java,correct,correct
218,correct/AbstractConstraint/8d6d1.java,correct,correct
219,correct/AbstractContainerAllocator/60e5c.java,correct,correct
220,correct/AbstractContextProvider/d70f8.java,correct,correct
221,correct/AbstractContractDistCpTest/b8a2d.java,correct,correct
222,correct/AbstractControllerTest/4e45d.java,correct,correct
223,correct/AbstractControllerTest/849f5.java,correct,correct
224,correct/AbstractConverterTest/6c832.java,correct,correct
225,correct/AbstractCoordinator/8bd87.java,correct,correct
226,correct/AbstractCrateNodesTests/6805a.java,correct,correct
227,correct/AbstractDaoTestSinglePk/5af7b.java,correct,correct
228,correct/AbstractDartComponentImpl/89311.java,correct,correct
229,correct/AbstractDataEditor/9e9eb.java,correct,correct
230,correct/AbstractDataExporter/e308e.java,correct,overfitting
231,correct/AbstractDatabase/4db3d.java,correct,correct
232,correct/AbstractDatabase/7114b.java,correct,correct
233,correct/AbstractDatabase/d1da4.java,correct,correct
234,correct/AbstractDatabase/fc2b8.java,correct,correct
235,correct/AbstractDateDeserializer/70054.java,correct,overfitting
236,correct/AbstractDateDeserializer/b4cd5.java,correct,overfitting
237,correct/AbstractDateTimeAnnotationFormatterFactory/3a3ed.java,correct,correct
238,correct/AbstractDateTimeAnnotationFormatterFactory/3a3ed.java,correct,correct
239,correct/AbstractDateTimeField/92e75.java,correct,correct
240,correct/AbstractDeclarationCollector/3b452.java,correct,correct
241,correct/AbstractDeclarationCollector/6f779.java,correct,correct
242,correct/AbstractDemoExampleAdapterTest/06e44.java,correct,correct
243,correct/AbstractDemoExampleAdapterTest/35f8e.java,correct,correct
244,correct/AbstractDirectTask/7ea72.java,correct,correct
245,correct/AbstractDirectedNetworkConnections/51173.java,correct,correct
246,correct/AbstractDuration/5916e.java,correct,correct
247,correct/AbstractDwmTestCase/a98d4.java,correct,correct
248,correct/AbstractDwmTestCase/d2ef1.java,correct,correct
249,correct/AbstractDynamicTypeBuilderForInliningTest/d7aa2.java,correct,correct
250,correct/AbstractDynamicTypeBuilderTest/d7aa2.java,correct,correct
251,correct/AbstractEdge/92115.java,correct,correct
252,correct/AbstractElasticSearchClient/b3712.java,correct,correct
253,correct/AbstractElementsDataTable/8b1db.java,correct,correct
254,correct/AbstractEmbeddedServletContainerFactory/e1894.java,correct,correct
255,correct/AbstractEmbeddedServletContainerFactoryTests/01823.java,correct,correct
256,correct/AbstractEmbeddedServletContainerFactoryTests/676ef.java,correct,correct
257,correct/AbstractEmbeddedServletContainerFactoryTests/fb195.java,correct,correct
258,correct/AbstractEndPoint/55817.java,correct,correct
259,correct/AbstractEndpoint/ea143.java,correct,correct
260,correct/AbstractEnglishSpellerRule/024a8.java,correct,overfitting
261,correct/AbstractEpollChannel/95b02.java,correct,correct
262,correct/AbstractEventParser/8f2e2.java,correct,correct
263,correct/AbstractEventParser/a8d70.java,correct,correct
264,correct/AbstractEventSubscriber/3ebf9.java,correct,correct
265,correct/AbstractExecHandleBuilder/27d79.java,correct,correct
266,correct/AbstractExecuteTest/73cdd.java,correct,correct
267,correct/AbstractExpandableItemsHandler/e895d.java,correct,overfitting
268,correct/AbstractExternalSystemToolWindowFactory/5fcad.java,correct,correct
269,correct/AbstractFaultChainInitiatorObserver/626f8.java,correct,correct
270,correct/AbstractFeatureSpecification/d7a85.java,correct,correct
271,correct/AbstractFeatureSpecification/d7a85.java,correct,correct
272,correct/AbstractFeatureTest/ff716.java,correct,overfitting
273,correct/AbstractField/de75e.java,correct,correct
274,correct/AbstractFileConfigurationProvider/b611c.java,correct,correct
275,correct/AbstractFileProvider/307e6.java,correct,correct
276,correct/AbstractFileResolver/34a51.java,correct,correct
277,correct/AbstractFileSystem/52861.java,correct,correct
278,correct/AbstractFileSystem/f4344.java,correct,correct
279,correct/AbstractFileViewProvider/607de.java,correct,correct
280,correct/AbstractFilterNode/35687.java,correct,correct
281,correct/AbstractFixedGuardNode/fae2a.java,correct,correct
282,correct/AbstractFlagEncoder/01194.java,correct,correct
283,correct/AbstractFlashcardViewer/9b5e8.java,correct,correct
284,correct/AbstractFlywayTask/be686.java,correct,correct
285,correct/AbstractFullBinding/ba228.java,correct,correct
286,correct/AbstractFullBinding/ba228.java,correct,correct
287,correct/AbstractFullDistribZkTestBase/93290.java,correct,correct
288,correct/AbstractFullDistribZkTestBase/ad7c6.java,correct,correct
289,correct/AbstractFutureTest/37b5f.java,correct,overfitting
290,correct/AbstractGenerator/9bb58.java,correct,correct
291,correct/AbstractGenericHttpMessageConverter/9a501.java,correct,overfitting
292,correct/AbstractGenericHttpMessageConverter/9a501.java,correct,overfitting
293,correct/AbstractGenruleStep/2aef4.java,correct,correct
294,correct/AbstractGithubTagDownloadedProjectGenerator/fa39c.java,correct,correct
295,correct/AbstractGrailsArtefactTransformer/dee02.java,correct,correct
296,correct/AbstractGrailsClass/7ca9c.java,correct,correct
297,correct/AbstractGrailsClass/f489f.java,correct,correct
298,correct/AbstractGrailsControllerHelper/7911e.java,correct,correct
299,correct/AbstractGrailsPlugin/8a1ab.java,correct,correct
300,correct/AbstractGrailsPlugin/8e1fa.java,correct,correct
301,correct/AbstractGrailsPluginManager/2039f.java,correct,correct
302,correct/AbstractGrant/b294f.java,correct,correct
303,correct/AbstractGraph/41bec.java,correct,correct
304,correct/AbstractGraphHopperMatrixWebIntegrationTester/0cca5.java,correct,correct
305,correct/AbstractGraphHopperMatrixWebIntegrationTester/25bb3.java,correct,overfitting
306,correct/AbstractHDFSWriter/0602c.java,correct,correct
307,correct/AbstractHTTPServlet/00d3e.java,correct,correct
308,correct/AbstractHTTPServlet/4a9d4.java,correct,correct
309,correct/AbstractHTTPServlet/7faee.java,correct,correct
310,correct/AbstractHTTPTransportFactory/f4d21.java,correct,correct
311,correct/AbstractHazelcastRepositoryITests/d48ee.java,correct,correct
312,correct/AbstractHeightMap/7b0f0.java,correct,overfitting
313,correct/AbstractHeightMap/9a743.java,correct,correct
314,correct/AbstractHikariConfig/949fc.java,correct,correct
315,correct/AbstractHomekitAccessoryImpl/6bb99.java,correct,correct
316,correct/AbstractHomematicGateway/5c0e1.java,correct,correct
317,correct/AbstractHttp11Processor/108df.java,correct,correct
318,correct/AbstractHttp11Processor/39555.java,correct,overfitting
319,correct/AbstractHttp11Processor/4364c.java,correct,correct
320,correct/AbstractHttp11Processor/80a63.java,correct,correct
321,correct/AbstractHttpHandlerIntegrationTests/879b3.java,correct,correct
322,correct/AbstractHttpHandlerIntegrationTests/879b3.java,correct,correct
323,correct/AbstractHttpMessageConverter/e4453.java,correct,overfitting
324,correct/AbstractHttpMessageConverter/e4453.java,correct,overfitting
325,correct/AbstractHystrixCommand/12d90.java,correct,correct
326,correct/AbstractIDMigrator/13f56.java,correct,overfitting
327,correct/AbstractInMemoryThrottledSubmissionHandlerInterceptorAdapter/07907.java,correct,correct
328,correct/AbstractInMemoryThrottledSubmissionHandlerInterceptorAdapter/ff016.java,correct,correct
329,correct/AbstractInactivityMonitor/55fa3.java,correct,overfitting
330,correct/AbstractIndex/261ca.java,correct,correct
331,correct/AbstractIndex/9f948.java,correct,correct
332,correct/AbstractIndexProviderFactory/20f4c.java,correct,correct
333,correct/AbstractIndexStore/96562.java,correct,correct
334,correct/AbstractInfoExtractor/9ae03.java,correct,correct
335,correct/AbstractInodeTest/7d543.java,correct,correct
336,correct/AbstractInputStreamAnnotationCreator/368b2.java,correct,correct
337,correct/AbstractInputStreamAnnotationCreator/3f5be.java,correct,correct
338,correct/AbstractInputStreamAnnotationCreator/5ea5e.java,correct,correct
339,correct/AbstractInstant/69b4c.java,correct,correct
340,correct/AbstractInstant/99b20.java,correct,overfitting
341,correct/AbstractInternalPercentiles/22720.java,correct,correct
342,correct/AbstractInteropTest/2cbe9.java,correct,correct
343,correct/AbstractInvalidatorTest/0f230.java,correct,correct
344,correct/AbstractInvoker/7df5e.java,correct,correct
345,correct/AbstractItem/90376.java,correct,correct
346,correct/AbstractJAXBProvider/aec35.java,correct,overfitting
347,correct/AbstractJAXRSContinuationsTest/7faee.java,correct,correct
348,correct/AbstractJDBCDataModel/172ff.java,correct,correct
349,correct/AbstractJDBCDataModel/c433d.java,correct,correct
350,correct/AbstractJDBCTestElement/a34df.java,correct,correct
351,correct/AbstractJDBCTestElement/bab2a.java,correct,correct
352,correct/AbstractJSConsoleExampleAdapterTest/06e44.java,correct,correct
353,correct/AbstractJSConsoleExampleAdapterTest/35f8e.java,correct,correct
354,correct/AbstractJavaAnnotationProcessingTest/8ae5e.java,correct,correct
355,correct/AbstractJavaBlock/50456.java,correct,correct
356,correct/AbstractJavaWithLibCompletionTest/ea2b6.java,correct,correct
357,correct/AbstractJavadocCheck/3b452.java,correct,correct
358,correct/AbstractJavadocCheckTest/c8043.java,correct,correct
359,correct/AbstractJdbcExpert/c4b1f.java,correct,correct
360,correct/AbstractJdbcInsert/8ccd7.java,correct,correct
361,correct/AbstractJdbcInsert/8ccd7.java,correct,correct
362,correct/AbstractJetParsingTest/c5f7f.java,correct,correct
363,correct/AbstractJetType/c94b6.java,correct,correct
364,correct/AbstractJobVertex/2e7c7.java,correct,correct
365,correct/AbstractJoinTest/1bf24.java,correct,correct
366,correct/AbstractJsonHttpMessageConverter/578c0.java,correct,overfitting
367,correct/AbstractJsonHttpMessageConverter/578c0.java,correct,overfitting
368,correct/AbstractJsseEndpoint/16f61.java,correct,correct
369,correct/AbstractKQueueChannel/95b02.java,correct,correct
370,correct/AbstractKylinTestCase/ef746.java,correct,correct
371,correct/AbstractLayer/4266b.java,correct,overfitting
372,correct/AbstractLazyResolveNamespaceComparingTest/48267.java,correct,correct
373,correct/AbstractLeafNormalizable/1b653.java,correct,correct
374,correct/AbstractLinkAndExchangeTest/e3a61.java,correct,overfitting
375,correct/AbstractLiquibaseMojo/cfce4.java,correct,overfitting
376,correct/AbstractLocalAlluxioCluster/393a7.java,correct,correct
377,correct/AbstractLocalCamelController/db0b1.java,correct,correct
378,correct/AbstractLongRunningOperation/47c66.java,correct,correct
379,correct/AbstractLongRunningOperation/a0976.java,correct,correct
380,correct/AbstractLuaScriptStarter/421b7.java,correct,overfitting
381,correct/AbstractLuceneIndexAccessor/3b9cb.java,correct,overfitting
382,correct/AbstractMQTTTest/e5768.java,correct,correct
383,correct/AbstractManagedChannelImplBuilderTest/1b870.java,correct,correct
384,correct/AbstractMavenMultiPageReport/56f56.java,correct,correct
385,correct/AbstractMavenProjectTestCase/b4ce0.java,correct,correct
386,correct/AbstractMavenPublisher/33c1f.java,correct,overfitting
387,correct/AbstractMediaDevice/ea1a3.java,correct,overfitting
388,correct/AbstractMemoryHttpData/1fee1.java,correct,correct
389,correct/AbstractMessageChannel/f6579.java,correct,correct
390,correct/AbstractMessageChannel/f6579.java,correct,correct
391,correct/AbstractMessageConverterMethodProcessor/020c5.java,correct,correct
392,correct/AbstractMessageConverterMethodProcessor/020c5.java,correct,correct
393,correct/AbstractMessageConverterMethodProcessor/8e168.java,correct,correct
394,correct/AbstractMessageConverterMethodProcessor/8e168.java,correct,correct
395,correct/AbstractMessageReaderArgumentResolver/13565.java,correct,correct
396,correct/AbstractMessageReaderArgumentResolver/13565.java,correct,correct
397,correct/AbstractMessageReaderArgumentResolver/cec36.java,correct,correct
398,correct/AbstractMessageReaderArgumentResolver/cec36.java,correct,correct
399,correct/AbstractMessageResponseTimeInterceptor/6ba3e.java,correct,correct
400,correct/AbstractMetadataResolverAdapter/a7118.java,correct,correct
401,correct/AbstractMiniHBaseClusterTest/89dc6.java,correct,correct
402,correct/AbstractModelControllerClient/329a1.java,correct,correct
403,correct/AbstractModelElement/eb987.java,correct,correct
404,correct/AbstractModuleDataService/23f63.java,correct,correct
405,correct/AbstractModuleTestSupport/68d05.java,correct,correct
406,correct/AbstractMoneyFieldPersistenceProvider/17d70.java,correct,correct
407,correct/AbstractMongoConfiguration/31b9b.java,correct,overfitting
408,correct/AbstractMongoQuery/cd68a.java,correct,correct
409,correct/AbstractMonoToListenableFutureAdapter/5e954.java,correct,correct
410,correct/AbstractMonoToListenableFutureAdapter/5e954.java,correct,correct
411,correct/AbstractNameStore/5b5f7.java,correct,correct
412,correct/AbstractNamedDomainObjectContainer/a6cba.java,correct,correct
413,correct/AbstractNamedValueArgumentResolver/cec36.java,correct,correct
414,correct/AbstractNamedValueArgumentResolver/cec36.java,correct,correct
415,correct/AbstractNativeBinarySpec/18a7e.java,correct,correct
416,correct/AbstractNativeExecutableStarter/421b7.java,correct,overfitting
417,correct/AbstractNetwork/41bec.java,correct,correct
418,correct/AbstractNioByteChannel/b3231.java,correct,correct
419,correct/AbstractNioChannel/b5a58.java,correct,correct
420,correct/AbstractNioMessageChannel/b3231.java,correct,correct
421,correct/AbstractNode/92115.java,correct,correct
422,correct/AbstractNotificationBuilder/31b2f.java,correct,correct
423,correct/AbstractNullnessPropagationTransfer/c0089.java,correct,correct
424,correct/AbstractOAuthDataProvider/3fa43.java,correct,correct
425,correct/AbstractOptionCheck/b1f81.java,correct,correct
426,correct/AbstractPItem/6e90b.java,correct,correct
427,correct/AbstractParameterRegistrationImpl/5a323.java,correct,correct
428,correct/AbstractParser/0b86f.java,correct,correct
429,correct/AbstractParser/8e444.java,correct,correct
430,correct/AbstractPatternRule/0483a.java,correct,correct
431,correct/AbstractPlugin/df4ad.java,correct,correct
432,correct/AbstractPollingMessageListenerContainer/d7e07.java,correct,correct
433,correct/AbstractPollingMessageListenerContainer/d7e07.java,correct,correct
434,correct/AbstractPollingReporter/b5c4c.java,correct,correct
435,correct/AbstractPollingReporter/c0c8b.java,correct,correct
436,correct/AbstractPopup/122c9.java,correct,correct
437,correct/AbstractPopup/3394c.java,correct,overfitting
438,correct/AbstractPopup/81bb5.java,correct,correct
439,correct/AbstractPopup/9b276.java,correct,correct
440,correct/AbstractPopup/c40c7.java,correct,correct
441,correct/AbstractPreferenceController/805ea.java,correct,correct
442,correct/AbstractPreferenceController/b9cac.java,correct,correct
443,correct/AbstractProcessingFilter/73349.java,correct,correct
444,correct/AbstractProcessor/b527e.java,correct,correct
445,correct/AbstractProcessor/eeca1.java,correct,correct
446,correct/AbstractProfileMojo/6e6e3.java,correct,correct
447,correct/AbstractProfileMojo/d95fc.java,correct,correct
448,correct/AbstractPrologCommandPlayer/4b8ea.java,correct,correct
449,correct/AbstractPrologCommandPlayer/cac9f.java,correct,overfitting
450,correct/AbstractProperty/1728e.java,correct,correct
451,correct/AbstractProperty/52bed.java,correct,overfitting
452,correct/AbstractPropertyBindingResult/3a3ed.java,correct,correct
453,correct/AbstractPropertyBindingResult/3a3ed.java,correct,correct
454,correct/AbstractPropertyHolder/79bb6.java,correct,correct
455,correct/AbstractProtocol/095a4.java,correct,overfitting
456,correct/AbstractProtocol/a3e0f.java,correct,correct
457,correct/AbstractProviderModule/d5075.java,correct,correct
458,correct/AbstractPullBufferCaptureDevice/50d64.java,correct,correct
459,correct/AbstractPullRequest/934d9.java,correct,correct
460,correct/AbstractPushBufferCaptureDevice/50d64.java,correct,correct
461,correct/AbstractQualifiedReference/29085.java,correct,correct
462,correct/AbstractQualifiedReference/fb396.java,correct,correct
463,correct/AbstractQueryImpl/a7b4d.java,correct,correct
464,correct/AbstractQueryPager/a4620.java,correct,overfitting
465,correct/AbstractQuickFixTest/c860f.java,correct,correct
466,correct/AbstractRange/81c93.java,correct,correct
467,correct/AbstractRangeCommand/04a2c.java,correct,overfitting
468,correct/AbstractReadWriteAccess/eee04.java,correct,correct
469,correct/AbstractRebalanceTest/e26d1.java,correct,correct
470,correct/AbstractRecommender/b9077.java,correct,overfitting
471,correct/AbstractRecommender/e269f.java,correct,overfitting
472,correct/AbstractReconnectHandler/3301c.java,correct,correct
473,correct/AbstractReconnectHandler/52fbc.java,correct,correct
474,correct/AbstractRecordStore/94716.java,correct,correct
